City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Upernavik,72.7868,-56.1549,26.82,97,99,4.56,GL,1620790040
Steamboat Springs,40.485,-106.8317,37.4,81,40,4.61,US,1620789941
Buturlinovka,50.8239,40.6092,46.17,77,94,11.86,RU,1620790041
Ternate,0.8,127.4,85.98,65,22,2.82,ID,1620790041
Busselton,-33.65,115.3333,63.0,70,94,4.0,AU,1620789756
Mnogovershinnyy,53.9353,139.9242,52.75,43,18,4.54,RU,1620790041
Honjō,36.2333,139.1833,68.0,48,100,1.99,JP,1620790042
Châtellerault,46.8,0.5333,46.99,93,0,6.91,FR,1620790042
Hobart,-42.8794,147.3294,57.0,67,40,10.36,AU,1620790042
Port Elizabeth,-33.918,25.5701,57.2,88,0,16.11,ZA,1620790042
Kobryn,52.2138,24.3564,49.95,91,31,8.77,BY,1620790043
Khovd,48.0056,91.6419,54.05,31,9,6.08,MN,1620790043
Lagoa,39.05,-27.9833,60.73,81,9,13.73,PT,1620790043
Naze,28.3667,129.4833,77.0,94,75,19.57,JP,1620790044
Rikitea,-23.1203,-134.9692,77.81,78,27,22.77,PF,1620790044
Castro,-24.7911,-50.0119,59.63,72,99,3.51,BR,1620790044
Ushuaia,-54.8,-68.3,53.6,50,40,9.22,AR,1620789890
Cabo San Lucas,22.8909,-109.9124,79.0,76,74,9.69,MX,1620789926
Bandarbeyla,9.4942,50.8122,81.19,64,100,14.9,SO,1620789916
Roebourne,-20.7833,117.1333,86.27,30,0,11.1,AU,1620790045
Port Alfred,-33.5906,26.891,59.74,86,11,10.85,ZA,1620790045
Narsaq,60.9167,-46.05,41.0,56,75,2.3,GL,1620790046
Puerto Ayora,-0.7393,-90.3518,75.99,94,29,5.01,EC,1620790046
Geraldton,-28.7667,114.6,77.0,65,13,8.05,AU,1620790046
Hamilton,39.1834,-84.5333,50.0,61,1,5.75,US,1620789903
Selma,36.5708,-119.6121,87.8,11,20,10.36,US,1620790047
Mitú,1.1983,-70.1733,71.24,99,100,1.54,CO,1620789804
New Norfolk,-42.7826,147.0587,55.99,70,5,1.01,AU,1620790047
Buenos Aires,-34.6132,-58.3772,52.0,66,0,1.14,AR,1620789978
Yantzaza,-3.8278,-78.7594,64.42,98,14,0.85,EC,1620790047
Jamestown,42.097,-79.2353,39.2,75,40,4.61,US,1620790048
Butaritari,3.0707,172.7902,82.65,74,100,10.56,KI,1620790048
Arraial do Cabo,-22.9661,-42.0278,69.57,82,9,7.56,BR,1620790048
Dikson,73.5069,80.5464,28.09,91,100,18.1,RU,1620790048
Tuktoyaktuk,69.4541,-133.0374,23.0,86,75,18.41,CA,1620790049
Caravelas,-17.7125,-39.2481,70.05,78,2,4.18,BR,1620790049
Half Moon Bay,37.4636,-122.4286,63.0,93,90,8.05,US,1620790049
Sistranda,63.7256,8.834,42.8,93,0,3.44,NO,1620790050
Carnarvon,-24.8667,113.6333,80.6,41,0,11.5,AU,1620790050
Manggar,-2.8833,108.2667,84.34,78,100,12.12,ID,1620790050
Sørland,67.667,12.6934,42.46,91,100,19.62,NO,1620790051
Avarua,-21.2078,-159.775,73.4,94,90,6.91,CK,1620790051
Vaini,-21.2,-175.2,77.0,73,20,11.5,TO,1620790051
Garissa,-0.4536,39.6401,76.82,67,97,13.58,KE,1620790051
Khatanga,71.9667,102.5,32.63,100,100,9.89,RU,1620790052
Kirksville,40.1948,-92.5833,50.0,61,1,5.75,US,1620789992
Tura,25.5198,90.2201,79.12,61,47,4.23,IN,1620790052
Mataura,-46.1927,168.8643,50.0,66,9,1.01,NZ,1620790052
San Andrés,12.5847,-81.7006,82.4,83,75,11.5,CO,1620790053
Vacaria,-28.5122,-50.9339,51.01,99,100,1.01,BR,1620790053
Haines Junction,60.7522,-137.5108,50.0,34,99,10.36,CA,1620790053
Alofi,-19.0595,-169.9187,78.8,78,75,6.91,NU,1620790054
Tuatapere,-46.1333,167.6833,50.0,66,9,1.01,NZ,1620790054
Gobabis,-22.45,18.9667,54.84,46,0,8.52,NA,1620790054
Caiapônia,-16.9567,-51.8103,62.62,54,44,2.55,BR,1620790054
Marsabit,2.3284,37.9899,63.32,87,100,5.82,KE,1620790055
Kīhei,20.785,-156.4656,78.8,57,40,21.85,US,1620790055
Nanortalik,60.1432,-45.2371,39.25,68,98,3.6,GL,1620790055
Listvyagi,53.6772,86.951,57.43,47,100,2.04,RU,1620790056
Ponta do Sol,32.6667,-17.1,57.0,71,40,4.0,PT,1620790056
Iquique,-20.2208,-70.1431,64.4,77,90,2.95,CL,1620790056
Neenah,44.1858,-88.4626,44.6,65,40,4.61,US,1620789882
Baruun-Urt,46.6806,113.2792,52.81,26,4,12.62,MN,1620790057
Hilo,19.7297,-155.09,80.6,57,40,6.91,US,1620789807
Marzuq,14.4,46.4667,77.47,39,90,5.12,YE,1620790057
Klaksvík,62.2266,-6.589,37.4,75,93,6.91,FO,1620790057
Saint-Philippe,-21.3585,55.7679,73.4,73,0,3.44,RE,1620790058
Lorengau,-2.0226,147.2712,77.02,93,100,7.0,PG,1620790058
Batagay,67.6333,134.6333,30.99,61,100,7.34,RU,1620790058
Ilulissat,69.2167,-51.1,30.2,93,90,3.53,GL,1620790059
Iqaluit,63.7506,-68.5145,30.0,86,75,6.91,CA,1620790059
Punta Arenas,-53.15,-70.9167,46.4,71,75,11.5,CL,1620790059
Mount Gambier,-37.8333,140.7667,59.0,58,0,6.91,AU,1620790060
Jiangyou,31.7667,104.7167,76.48,56,46,5.79,CN,1620790060
Yārāda,17.65,83.2667,87.8,62,24,6.91,IN,1620790060
Pangnirtung,66.1451,-65.7125,17.82,90,60,7.16,CA,1620790060
Kathmandu,27.7167,85.3167,66.2,77,75,4.61,NP,1620789789
La Primavera,5.4906,-70.4092,71.92,95,100,3.85,CO,1620790061
Menongue,-14.6585,17.691,51.64,61,0,3.83,AO,1620790061
Bubaque,11.2833,-15.8333,76.77,76,61,11.45,GW,1620790061
Yumen,40.2833,97.2,66.2,16,64,19.22,CN,1620790062
Hermanus,-34.4187,19.2345,59.0,79,11,5.01,ZA,1620790062
Taoudenni,22.6783,-3.9836,89.53,8,0,10.65,ML,1620790062
São Domingos,-13.3983,-46.3183,66.36,63,38,5.06,BR,1620790062
Karratha,-20.7377,116.8463,86.72,30,0,10.45,AU,1620790063
Vila Velha,-20.3297,-40.2925,71.01,88,0,8.23,BR,1620789917
Albany,42.6001,-73.9662,46.99,48,2,10.69,US,1620789927
Bredasdorp,-34.5322,20.0403,55.4,82,7,8.05,ZA,1620790063
Saint George,37.1041,-113.5841,77.0,8,1,10.36,US,1620790064
Vilyuysk,63.7553,121.6247,43.84,38,14,8.57,RU,1620790064
Östersund,63.1792,14.6357,45.0,81,100,2.13,SE,1620790017
Papara,-3.9839,-38.7273,81.0,89,75,8.05,BR,1620790064
Warrnambool,-38.3833,142.4833,60.01,72,2,3.0,AU,1620790064
Bad Freienwalde,52.7873,14.0304,63.0,85,85,1.01,DE,1620790065
Whitehorse,60.7161,-135.0538,52.0,34,40,12.66,CA,1620790065
Bluff,-46.6,168.3333,50.0,66,27,1.01,NZ,1620790065
Tazmalt,36.3868,4.3989,51.93,55,0,0.22,DZ,1620790066
Linares,-35.85,-71.6,48.38,66,14,2.93,CL,1620790033
Kedrovyy,56.1667,91.8167,55.4,44,0,8.95,RU,1620790066
Mahébourg,-20.4081,57.7,68.0,94,20,4.61,MU,1620790066
Portland,45.5234,-122.6762,69.8,30,75,9.22,US,1620789510
Honiara,-9.4333,159.95,84.33,75,79,3.65,SB,1620790067
Cayenne,4.9333,-52.3333,80.01,94,75,10.54,GF,1620790067
Hithadhoo,-0.6,73.0833,82.35,75,98,11.65,MV,1620790067
Terenos,-20.4422,-54.8603,69.8,73,0,10.36,BR,1620790068
Paraíso,9.8383,-83.8656,69.8,100,90,3.44,CR,1620790068
Chunoyar,57.4467,97.3217,47.95,36,2,6.29,RU,1620790068
Warri,5.5167,5.75,76.05,89,47,3.58,NG,1620790069
Singaparna,-7.3515,108.111,80.74,74,81,4.54,ID,1620790069
Kabo,7.6994,18.629,75.02,78,95,4.27,CF,1620790069
Barrow,71.2906,-156.7887,17.6,79,90,13.8,US,1620790070
Medicine Hat,50.0501,-110.6683,52.0,66,75,9.22,CA,1620789929
Cherskiy,68.75,161.3,26.51,80,89,4.83,RU,1620790070
Mar del Plata,-38.0023,-57.5575,50.0,87,0,5.75,AR,1620790070
Yellowknife,62.456,-114.3525,33.01,64,20,8.05,CA,1620790071
George Town,5.4112,100.3354,89.01,74,20,1.14,MY,1620789782
Wewak,-3.5534,143.6268,80.69,82,100,4.72,PG,1620790071
Qui Nhon,13.7667,109.2333,88.34,61,45,10.98,VN,1620789867
Mumbwa,-14.9783,27.0619,53.11,72,0,4.72,ZM,1620790071
Vila Franca do Campo,37.7167,-25.4333,53.6,82,20,2.3,PT,1620790072
Saint Paul Harbor,57.79,-152.4072,42.24,80,100,1.92,US,1620789837
Kamenka,51.3223,42.7678,45.1,83,100,7.43,RU,1620790072
Mubi,10.2676,13.2644,80.06,52,10,5.03,NG,1620790072
Chui,-33.6971,-53.4616,52.48,72,69,7.58,UY,1620790073
Gouré,13.9835,10.2704,80.58,17,43,4.74,NE,1620790073
Ribeira Grande,38.5167,-28.7,61.27,86,12,7.99,PT,1620790073
Waipawa,-41.4122,175.5153,51.01,93,90,24.16,NZ,1620790074
Sitka,57.0531,-135.33,46.4,76,90,3.2,US,1620790074
Kupang,-10.1667,123.5833,87.8,55,40,14.97,ID,1620790074
Aripuanã,-9.1667,-60.6333,75.9,79,86,1.99,BR,1620789852
Qaryat Sulūq,31.6682,20.2521,69.75,22,5,11.07,LY,1620790075
Buala,-8.145,159.5921,84.6,72,62,4.29,SB,1620790075
Livramento,-3.0254,-60.1803,78.8,100,0,2.86,BR,1620790075
Bethel,41.3712,-73.414,48.0,60,100,6.93,US,1620790076
Hammerfest,70.6634,23.6821,35.6,87,75,3.44,NO,1620790076
Kamenice nad Lipou,49.303,15.0752,57.0,93,97,1.01,CZ,1620790076
Salalah,17.0151,54.0924,82.4,83,75,2.3,OM,1620790077
Egvekinot,66.3167,-179.1667,31.21,99,100,4.7,RU,1620790077
Qaanaaq,77.484,-69.3632,20.8,88,100,6.04,GL,1620790077
Waingapu,-9.6567,120.2641,84.99,61,11,14.23,ID,1620790077
Elk Point,42.6833,-96.6836,53.01,44,59,5.59,US,1620790078
Port Keats,-14.25,129.55,90.57,25,0,12.03,AU,1620790078
Diego de Almagro,-26.3667,-70.05,59.5,47,10,1.52,CL,1620790078
Nuevo Ideal,24.8875,-105.0728,66.94,46,81,6.38,MX,1620790079
Grand-Santi,4.25,-54.3833,71.8,99,99,1.81,GF,1620790079
Pevek,69.7008,170.3133,23.76,82,100,0.67,RU,1620790079
Tiznit Province,29.5833,-9.5,59.09,63,2,2.57,MA,1620790080
Saint-Leu,-21.15,55.2833,73.4,73,0,3.44,RE,1620790080
Norman Wells,65.282,-126.8329,55.4,41,75,10.36,CA,1620790080
Katsuura,35.1333,140.3,68.0,55,75,6.91,JP,1620790080
Fortuna,40.5982,-124.1573,55.0,87,1,6.91,US,1620790081
Ilmajoki,62.7333,22.5667,53.01,81,0,2.3,FI,1620790081
Naryan-Mar,67.6713,53.087,45.55,97,100,12.39,RU,1620790082
Gemeente Wageningen,51.9667,5.6667,51.01,100,90,1.14,NL,1620790082
Anadyr,64.75,177.4833,35.6,87,75,22.37,RU,1620790082
San Cristobal,7.7669,-72.225,80.6,61,40,9.22,VE,1620790083
Tarakan,3.3,117.6333,84.2,79,40,2.3,ID,1620790083
Longyearbyen,78.2186,15.6401,21.2,86,75,5.75,SJ,1620790083
Kigoma,-4.8769,29.6267,69.94,80,29,5.06,TZ,1620790083
Olafsvik,64.8945,-23.7142,38.23,62,82,2.35,IS,1620790084
Buchanan,5.8808,-10.0467,75.2,94,75,4.9,LR,1620790084
Vostok,46.4856,135.8833,59.43,37,98,5.39,RU,1620790084
Gillette,44.2911,-105.5022,44.6,70,1,17.27,US,1620790085
Hong Kong,22.2855,114.1577,89.01,79,8,12.28,HK,1620789937
Kodinsk,58.6881,99.1844,45.75,40,33,5.86,RU,1620790085
Chokurdakh,70.6333,147.9167,26.94,83,99,5.37,RU,1620790085
Clyde River,70.4692,-68.5914,19.4,93,90,3.44,CA,1620790086
Walvis Bay,-22.9575,14.5053,64.4,29,0,2.3,NA,1620790086
Tha Bo,17.85,102.5814,93.0,62,40,2.3,TH,1620790086
Ambon City,-3.6954,128.1814,87.8,74,40,4.61,ID,1620790086
Green River,41.5286,-109.4662,42.8,52,1,4.61,US,1620790087
Westport,41.1415,-73.3579,52.0,55,100,9.48,US,1620790087
Craig,40.5153,-107.5464,41.0,81,1,8.05,US,1620790087
Tautira,-17.7333,-149.15,86.0,61,75,6.91,PF,1620790088
Feicheng,35.2606,117.9675,77.94,43,14,3.38,CN,1620790088
Fairbanks,64.8378,-147.7164,55.4,62,90,11.5,US,1620790088
Tamiahua,21.2667,-97.45,79.23,87,63,10.38,MX,1620790089
Kapaa,22.0752,-159.319,78.8,65,40,14.97,US,1620790067
Alice Springs,-23.7,133.8833,66.2,42,0,8.05,AU,1620790089
Lata,40.1629,-8.3327,61.0,92,100,4.0,PT,1620790089
Oshnavīyeh,37.0397,45.0983,53.6,47,0,6.91,IR,1620790089
Snåase,64.2457,12.3778,43.86,93,96,2.06,NO,1620790090
Victoria Falls,-17.9235,25.843,54.12,59,0,4.05,ZW,1620790090
Ahipara,-35.1667,173.1667,66.88,79,91,7.67,NZ,1620790091
Almaznyy,48.0448,40.045,46.4,100,75,11.18,RU,1620790091
Del Rio,29.3627,-100.8968,75.2,69,90,9.22,US,1620790091
Provideniya,64.3833,-173.3,37.4,81,90,4.47,RU,1620790091
Tasiilaq,65.6145,-37.6368,28.4,93,75,17.27,GL,1620790092
Altay,47.8667,88.1167,52.45,44,98,4.59,CN,1620790092
Pisco,-13.7,-76.2167,64.0,88,7,2.3,PE,1620790092
Camaná,-16.6228,-72.7111,65.66,80,99,3.0,PE,1620790093
Sittwe,20.15,92.9,86.88,62,23,3.56,MM,1620790093
Mount Isa,-20.7333,139.5,78.8,25,0,10.36,AU,1620790093
East London,-33.0153,27.9116,55.4,94,0,5.75,ZA,1620790094
Beringovskiy,63.05,179.3167,32.22,99,100,3.53,RU,1620790094
Hasaki,35.7333,140.8333,68.0,49,75,10.36,JP,1620790094
Lagoa Santa,-19.6272,-43.8897,60.8,82,0,5.75,BR,1620790094
Shar,49.5886,81.0453,56.8,48,68,13.85,KZ,1620790095
Touros,-5.1989,-35.4608,73.4,94,0,4.61,BR,1620790095
Cape Town,-33.9258,18.4232,59.0,100,20,3.44,ZA,1620789834
Luanda,-8.8368,13.2343,77.0,94,75,8.05,AO,1620789830
Beyneu,45.3167,55.2,69.15,47,9,20.07,KZ,1620790096
Roald,62.5833,6.1333,43.0,93,90,2.3,NO,1620790096
Hualmay,-11.0964,-77.6139,65.21,84,7,8.46,PE,1620790096
Trelew,-43.249,-65.3051,56.43,31,100,6.24,AR,1620790096
Saskylakh,71.9167,114.0833,27.82,81,100,10.16,RU,1620790097
Jutaí,-5.1833,-68.9,73.13,98,100,2.08,BR,1620790097
Ust'-Barguzin,53.45,108.9833,42.71,70,27,4.59,RU,1620790097
Monchegorsk,67.9397,32.8739,43.0,100,100,2.77,RU,1620790098
Chino Valley,34.7575,-112.4538,70.0,14,1,9.22,US,1620789954
Airai,-8.9266,125.4092,73.67,48,5,4.65,TL,1620790098
Usinsk,65.9939,57.5281,44.24,94,100,15.17,RU,1620790098
Wenling,28.3669,121.36,84.0,85,85,3.44,CN,1620790099
Nantucket,41.2835,-70.0995,52.0,76,90,12.66,US,1620790099
Dodge City,37.7528,-100.0171,48.99,87,90,4.61,US,1620790099
Heraclea,37.5133,34.0467,52.83,33,0,2.17,TR,1620790100
Laas,46.6166,10.7002,46.0,100,75,8.05,IT,1620790100
Birao,10.2849,22.7882,80.2,52,32,3.65,CF,1620790100
Port Blair,11.6667,92.75,86.22,68,99,4.25,IN,1620790100
Kavaratti,10.5669,72.642,84.38,72,100,3.06,IN,1620790101
Şurmān,32.7567,12.5716,65.41,82,40,14.09,LY,1620790101
Flinders,-34.5833,150.8552,66.0,72,90,8.52,AU,1620790101
Dinagat,9.9561,125.5933,82.31,79,95,10.96,PH,1620790102
Tanout,14.9709,8.8879,85.03,11,100,9.17,NE,1620790102
Dingle,10.9995,122.6711,88.83,60,97,12.37,PH,1620790102
Morehead,37.2711,-87.1764,57.2,41,90,8.05,US,1620790103
Padang,-0.9492,100.3543,77.0,100,75,3.44,ID,1620790103
Ürümqi,43.801,87.6005,66.2,42,0,4.47,CN,1620790103
Tymovskoye,50.8456,142.655,55.69,30,0,5.75,RU,1620790104
Petatlán,17.5167,-101.2667,81.84,77,44,2.04,MX,1620790104
Angoche,-16.2325,39.9086,70.52,89,91,8.37,MZ,1620790104
Polovinnoye,54.7914,65.9864,63.27,35,29,9.04,RU,1620790105
Derzhavīnsk,51.1,66.3167,59.56,45,93,5.61,KZ,1620790105
Diffa,13.3154,12.6113,85.57,31,8,6.67,NE,1620790105
Bengkulu,-3.8004,102.2655,84.34,72,85,2.3,ID,1620790105
Sirte,31.2089,16.5887,69.06,63,0,8.84,LY,1620790106
Nikolskoye,59.7035,30.7861,57.0,50,0,4.47,RU,1620790106
Kloulklubed,7.0419,134.2556,80.6,89,90,8.05,PW,1620790106
Tando Muhammad Khan,25.123,68.5358,86.65,57,3,21.12,PK,1620790107
Baoqing,46.3317,132.2111,52.41,71,100,16.71,CN,1620790107
Dunedin,-45.8742,170.5036,54.0,36,34,1.01,NZ,1620790107
Gornopravdinsk,60.05,69.9,49.35,60,100,9.24,RU,1620790108
Vanimo,-2.6741,141.3028,85.28,68,75,6.06,PG,1620790108
Kaitangata,-46.2817,169.8464,50.0,66,45,2.57,NZ,1620790108
Cuamba,-14.8031,36.5372,57.06,98,14,3.13,MZ,1620790109
Vardø,70.3705,31.1107,37.4,93,75,2.3,NO,1620790109
Dīr,35.2058,71.8756,67.87,46,2,2.04,PK,1620790109
Strezhevoy,60.7333,77.5889,50.0,87,75,8.95,RU,1620790109
Tiksi,71.6872,128.8694,24.94,83,66,4.72,RU,1620790110
Najrān,17.4924,44.1277,77.0,38,0,5.66,SA,1620790110
Nelson Bay,-32.7167,152.15,68.0,77,75,4.61,AU,1620790110
Correntina,-13.3433,-44.6367,64.67,57,26,2.84,BR,1620790111
Hohhot,40.8106,111.6522,69.8,21,0,6.71,CN,1620790111
Madisonville,37.3281,-87.4989,57.99,41,90,8.05,US,1620790111
Port Hardy,50.6996,-127.4199,50.0,100,90,4.61,CA,1620790111
Shihezi,44.3,86.0333,67.82,48,47,8.12,CN,1620789986
Kruisfontein,-34.0033,24.7314,53.01,95,0,8.79,ZA,1620790112
Yatou,37.15,122.3833,60.82,85,100,7.49,CN,1620790112
Boyolangu,-8.1181,111.8935,83.88,70,60,10.09,ID,1620789985
Husavik,66.0449,-17.3389,24.8,80,0,3.44,IS,1620790113
Virginia Beach,36.8529,-75.978,57.0,67,20,9.17,US,1620789835
Abu Dhabi,24.4667,54.3667,80.6,78,0,2.3,AE,1620790113
Ketchikan,55.3422,-131.6461,48.06,89,99,2.26,US,1620789897
Korla,41.7597,86.1469,62.89,45,98,20.62,CN,1620790113
Grand Gaube,-20.0064,57.6608,75.0,75,1,3.0,MU,1620790114
Batemans Bay,-35.7167,150.1833,68.0,64,30,4.09,AU,1620790114
Bathsheba,13.2167,-59.5167,78.8,65,75,23.02,BB,1620790114
Kon Tum,14.35,108.0,91.31,46,72,4.16,VN,1620790115
Merauke,-8.4667,140.3333,84.42,69,58,4.14,ID,1620790115
Laguna,38.421,-121.4238,89.6,7,1,4.61,US,1620790115
Leningradskiy,69.3833,178.4167,31.48,92,100,10.11,RU,1620790115
Nemuro,43.3236,145.575,51.8,62,20,11.5,JP,1620790116
Adrar,20.5022,-10.0711,80.53,11,0,11.41,MR,1620790116
Corinth,37.9407,22.9573,57.99,58,0,1.19,GR,1620790116
Bougouni,11.417,-7.479,82.17,55,94,5.79,ML,1620790117
São Filipe,14.8961,-24.4956,74.39,74,1,11.39,CV,1620790117
Warnes,-17.5,-63.1667,63.73,71,100,12.17,BO,1620790117
Krasnosel'kup,65.7,82.4667,34.02,97,100,14.27,RU,1620790118
Port Moresby,-9.4431,147.1797,89.6,70,40,11.5,PG,1620789888
Yulara,-25.2406,130.9889,68.0,42,0,5.75,AU,1620790118
Harlingen,26.1906,-97.6961,82.99,89,75,13.8,US,1620790080
Kutum,14.2,24.6667,73.99,41,6,5.06,SD,1620789909
Oddur,4.1213,43.8894,72.27,64,100,16.96,SO,1620789915
College,64.8569,-147.8028,55.4,62,75,6.91,US,1620790119
Shestakovo,56.4915,103.96,41.79,47,70,8.68,RU,1620790119
Doha,25.2867,51.5333,87.8,42,0,2.3,QA,1620790119
Severo-Kuril'sk,50.6789,156.125,37.09,87,63,12.08,RU,1620790120
Souillac,-20.5167,57.5167,68.0,94,20,4.61,MU,1620790120
